player,team,pos,90s,shots,tackles_won,interceptions,league,season,shots_p90,tackles_won_p90,interceptions_p90
Rico Lewis,Manchester City,"DF,MF",10.0,5,10,4,ENG-Premier League,2223,0.5,1.0,0.4
Riyad Mahrez,Manchester City,"MF,FW",21.3,43,13,9,ENG-Premier League,2223,2.0187793427230045,0.6103286384976525,0.4225352112676056
Rodri,Manchester City,"MF,DF",32.3,50,41,31,ENG-Premier League,2223,1.5479876160990713,1.2693498452012384,0.9597523219814242
Rúben Dias,Manchester City,"DF,MF",22.2,10,14,18,ENG-Premier League,2223,0.45045045045045046,0.6306306306306306,0.8108108108108109
Sergio Gómez,Manchester City,"MF,FW",3.9,7,4,2,ENG-Premier League,2223,1.794871794871795,1.0256410256410258,0.5128205128205129
Shea Charles,Manchester City,"DF,MF",0.3,0,0,1,ENG-Premier League,2223,0.0,0.0,3.3333333333333335
Stefan Ortega,Manchester City,GK,3.0,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
İlkay Gündoğan,Manchester City,MF,26.1,54,19,20,ENG-Premier League,2223,2.068965517241379,0.7279693486590038,0.7662835249042145
Aaron Wan-Bissaka,Manchester Utd,DF,15.9,10,23,20,ENG-Premier League,2223,0.6289308176100629,1.4465408805031446,1.2578616352201257
Alejandro Garnacho,Manchester Utd,MF,6.3,24,2,4,ENG-Premier League,2223,3.8095238095238098,0.31746031746031744,0.6349206349206349
Anthony Elanga,Manchester Utd,MF,4.7,10,0,2,ENG-Premier League,2223,2.127659574468085,0.0,0.425531914893617
Anthony Martial,Manchester Utd,FW,10.9,27,3,1,ENG-Premier League,2223,2.477064220183486,0.27522935779816515,0.09174311926605504
Antony,Manchester Utd,MF,20.0,72,9,11,ENG-Premier League,2223,3.6,0.45,0.55
Bruno Fernandes,Manchester Utd,MF,36.8,92,42,25,ENG-Premier League,2223,2.5,1.1413043478260871,0.6793478260869565
Casemiro,Manchester Utd,MF,23.6,34,44,29,ENG-Premier League,2223,1.4406779661016949,1.8644067796610169,1.2288135593220337
Christian Eriksen,Manchester Utd,MF,22.8,38,19,10,ENG-Premier League,2223,1.6666666666666665,0.8333333333333333,0.43859649122807015
Cristiano Ronaldo,Manchester Utd,FW,5.8,25,2,1,ENG-Premier League,2223,4.310344827586207,0.3448275862068966,0.1724137931034483
David de Gea,Manchester Utd,GK,38.0,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Diogo Dalot,Manchester Utd,DF,23.9,22,40,37,ENG-Premier League,2223,0.9205020920502093,1.6736401673640169,1.5481171548117156
Donny van de Beek,Manchester Utd,MF,1.9,2,0,1,ENG-Premier League,2223,1.0526315789473684,0.0,0.5263157894736842
Facundo Pellistri,Manchester Utd,"FW,MF",0.7,0,1,0,ENG-Premier League,2223,0.0,1.4285714285714286,0.0
Fred,Manchester Utd,MF,13.9,26,31,19,ENG-Premier League,2223,1.870503597122302,2.2302158273381294,1.3669064748201438
Harry Maguire,Manchester Utd,DF,8.5,3,6,13,ENG-Premier League,2223,0.35294117647058826,0.7058823529411765,1.5294117647058822
Jadon Sancho,Manchester Utd,MF,18.7,21,9,5,ENG-Premier League,2223,1.1229946524064172,0.4812834224598931,0.26737967914438504
Kobbie Mainoo,Manchester Utd,MF,0.1,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Lisandro Martínez,Manchester Utd,DF,23.5,10,30,34,ENG-Premier League,2223,0.425531914893617,1.2765957446808511,1.446808510638298
Luke Shaw,Manchester Utd,DF,28.4,14,36,35,ENG-Premier League,2223,0.49295774647887325,1.267605633802817,1.2323943661971832
Marcel Sabitzer,Manchester Utd,MF,7.0,11,8,6,ENG-Premier League,2223,1.5714285714285714,1.1428571428571428,0.8571428571428571
Marcus Rashford,Manchester Utd,"FW,MF",32.0,108,10,6,ENG-Premier League,2223,3.375,0.3125,0.1875
Raphaël Varane,Manchester Utd,DF,21.2,8,10,9,ENG-Premier League,2223,0.37735849056603776,0.4716981132075472,0.42452830188679247
Scott McTominay,Manchester Utd,MF,12.9,13,20,10,ENG-Premier League,2223,1.0077519379844961,1.5503875968992247,0.7751937984496123
Tyrell Malacia,Manchester Utd,DF,15.5,5,33,24,ENG-Premier League,2223,0.3225806451612903,2.129032258064516,1.5483870967741935
Victor Lindelöf,Manchester Utd,DF,15.2,3,17,19,ENG-Premier League,2223,0.19736842105263158,1.118421052631579,1.25
Wout Weghorst,Manchester Utd,"FW,MF",8.9,14,5,6,ENG-Premier League,2223,1.5730337078651684,0.5617977528089887,0.6741573033707865
Alexander Isak,Newcastle,FW,16.9,51,8,4,ENG-Premier League,2223,3.017751479289941,0.4733727810650888,0.2366863905325444
Allan Saint-Maximin,Newcastle,FW,12.4,28,4,4,ENG-Premier League,2223,2.258064516129032,0.3225806451612903,0.3225806451612903
Anthony Gordon,Newcastle,"FW,MF",5.4,8,11,1,ENG-Premier League,2223,1.4814814814814814,2.0370370370370368,0.18518518518518517
Bruno Guimarães,Newcastle,MF,30.3,28,43,36,ENG-Premier League,2223,0.9240924092409241,1.4191419141914192,1.188118811881188
Callum Wilson,Newcastle,FW,20.9,73,3,1,ENG-Premier League,2223,3.4928229665071773,0.14354066985645933,0.04784688995215311
Chris Wood,Newcastle,FW,5.0,9,4,1,ENG-Premier League,2223,1.8,0.8,0.2
Dan Burn,Newcastle,DF,34.6,21,38,29,ENG-Premier League,2223,0.6069364161849711,1.0982658959537572,0.838150289017341
Elliot Anderson,Newcastle,MF,4.6,11,5,5,ENG-Premier League,2223,2.3913043478260874,1.0869565217391306,1.0869565217391306
Fabian Schär,Newcastle,DF,35.6,56,21,51,ENG-Premier League,2223,1.5730337078651684,0.5898876404494382,1.4325842696629212
Jacob Murphy,Newcastle,FW,13.9,29,9,6,ENG-Premier League,2223,2.0863309352517985,0.6474820143884892,0.4316546762589928
Jamaal Lascelles,Newcastle,DF,2.4,2,0,0,ENG-Premier League,2223,0.8333333333333334,0.0,0.0
Jamal Lewis,Newcastle,"DF,MF",0.1,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Javier Manquillo,Newcastle,DF,0.4,0,2,1,ENG-Premier League,2223,0.0,5.0,2.5
Joe Willock,Newcastle,MF,28.4,58,30,27,ENG-Premier League,2223,2.0422535211267605,1.0563380281690142,0.9507042253521127
Joelinton,Newcastle,"MF,FW",29.6,51,49,46,ENG-Premier League,2223,1.7229729729729728,1.6554054054054053,1.554054054054054
Jonjo Shelvey,Newcastle,MF,0.4,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Kieran Trippier,Newcastle,DF,37.1,14,48,43,ENG-Premier League,2223,0.3773584905660377,1.2938005390835579,1.1590296495956873
Lewis Miley,Newcastle,MF,0.2,1,0,0,ENG-Premier League,2223,5.0,0.0,0.0
