id,season_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,prev_total_points,prev_minutes,prev_goals_scored,prev_assists,prev_clean_sheets,prev_goals_conceded,prev_own_goals,prev_penalties_saved,prev_penalties_missed,prev_yellow_cards,prev_red_cards,prev_saves,prev_bonus,prev_bps,prev_influence,prev_creativity,prev_threat,prev_ict_index,prev_expected_goals,prev_expected_assists,prev_expected_goal_involvements,avg2_total_points,avg2_goals_scored,avg2_assists,avg2_minutes,avg2_clean_sheets,avg2_saves,avg2_goals_conceded,seasons_played,full_name,position,team_name
55,2024/25,186,2593,16,8,10,40,0,0,0,2,0,0,32,631,766.0,345.2,1148.0,223.8,15.12,2.07,17.19,228.0,3222.0,19.0,18.0,7.0,56.0,0.0,0.0,0.0,4.0,0.0,0.0,29.0,752.0,1024.6,588.5,1420.0,302.8,16.74,4.02,20.76,92.0,0.0,0.0,2250.0,7.5,61.0,29.5,4,Ollie Watkins,Forward,Aston Villa
55,2025/26,167,2833,16,4,9,38,0,0,0,4,0,0,26,623,720.2,330.9,1206.0,225.2,15.4,1.18,16.58,186.0,2593.0,16.0,8.0,10.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,631.0,766.0,345.2,1148.0,223.8,15.12,2.07,17.19,137.0,0.0,0.0,3420.0,11.0,117.5,53.0,5,Ollie Watkins,Forward,Aston Villa
56,2015/16,2,55,0,0,0,2,0,0,0,0,0,0,0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,59.0,0.5,2.0,2131.0,4.0,0.0,43.0,0,Tammy Abraham,Forward,Aston Villa
56,2017/18,86,1715,5,3,4,31,0,0,0,0,0,0,11,238,269.2,182.6,693.0,114.2,0.0,0.0,0.0,2.0,55.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,3.5,2338.0,7.5,0.0,38.5,1,Tammy Abraham,Forward,Aston Villa
56,2018/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1715.0,5.0,3.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,238.0,269.2,182.6,693.0,114.2,0.0,0.0,0.0,162.0,0.5,8.5,2578.0,15.5,0.0,19.0,2,Tammy Abraham,Forward,Aston Villa
56,2019/20,153,2206,15,6,7,34,1,0,0,2,0,0,20,461,659.6,283.2,1301.0,223.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,1.0,12.0,3163.5,17.0,0.0,25.5,3,Tammy Abraham,Forward,Aston Villa
56,2020/21,69,1031,6,2,5,12,0,0,0,0,0,0,8,224,277.2,121.6,483.0,86.6,0.0,0.0,0.0,153.0,2206.0,15.0,6.0,7.0,34.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,461.0,659.6,283.2,1301.0,223.3,0.0,0.0,0.0,171.0,1.5,10.0,3247.5,12.5,0.0,36.5,4,Tammy Abraham,Forward,Aston Villa
56,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1031.0,6.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,224.0,277.2,121.6,483.0,86.6,0.0,0.0,0.0,173.5,2.0,9.5,2960.5,14.5,0.0,31.0,5,Tammy Abraham,Forward,Aston Villa
56,2025/26,23,278,2,0,0,8,0,0,0,0,0,0,2,93,87.2,49.2,136.0,27.1,2.05,0.36,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.5,1.5,9.5,2558.0,13.0,0.0,27.0,6,Tammy Abraham,Forward,Aston Villa
57,2023/24,71,1986,0,0,5,38,0,0,0,2,0,75,5,414,567.8,0.0,0.0,56.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,25.5,0.5,1.0,895.0,1.5,0.0,19.5,0,Đorđe Petrović,Goalkeeper,Bournemouth
