player_id,name,current_club_name,position,sub_position,market_value_in_eur,highest_market_value_in_eur
475416,Sorba Thomas,Stoke City,Attack,Left Winger,14000000.0,14000000.0
475946,Anthony Patterson,Sunderland AFC,Goalkeeper,Goalkeeper,,
475959,Josko Gvardiol,Manchester City,Defender,Centre-Back,70000000.0,80000000.0
476701,Manuel Ugarte,Manchester United,Midfield,Defensive Midfield,25000000.0,60000000.0
477758,Aaron Wan-Bissaka,West Ham United,Defender,Right-Back,15000000.0,40000000.0
478573,Ryan Gravenberch,Liverpool FC,Midfield,Defensive Midfield,80000000.0,90000000.0
479999,Eberechi Eze,Arsenal FC,Midfield,Attacking Midfield,65000000.0,65000000.0
480723,Finn Azaz,Southampton FC,Midfield,Attacking Midfield,20000000.0,20000000.0
480762,Lisandro Martínez,Manchester United,Defender,Centre-Back,40000000.0,50000000.0
480987,Chris Mepham,West Bromwich Albion,Defender,Centre-Back,3000000.0,13000000.0
482836,David Strelec,Middlesbrough FC,Attack,Centre-Forward,8000000.0,8000000.0
483348,Djed Spence,Tottenham Hotspur,Defender,Left-Back,30000000.0,32000000.0
484547,Jeremie Frimpong,Liverpool FC,Defender,Right-Back,35000000.0,50000000.0
485583,Ki-Jana Hoever,Wolverhampton Wanderers,Defender,Right-Back,3500000.0,7000000.0
485585,Ian Maatsen,Aston Villa,Defender,Left-Back,30000000.0,40000000.0
485706,Amadou Onana,Aston Villa,Midfield,Defensive Midfield,45000000.0,55000000.0
486049,Jérémy Doku,Manchester City,Attack,Left Winger,75000000.0,75000000.0
486477,Edo Kayembe,Watford FC,Midfield,Central Midfield,4000000.0,5000000.0
487417,Liam Millar,Hull City,Attack,Left Winger,1700000.0,3000000.0
487465,Pedro Neto,Chelsea FC,Attack,Right Winger,60000000.0,60000000.0
487969,Randal Kolo Muani,Tottenham Hotspur,Attack,Centre-Forward,20000000.0,80000000.0
488362,Conor Gallagher,Tottenham Hotspur,Midfield,Central Midfield,32000000.0,50000000.0
488935,Hákon Valdimarsson,Brentford FC,Goalkeeper,Goalkeeper,2500000.0,2500000.0
489359,Ao Tanaka,Leeds United,Midfield,Central Midfield,13000000.0,13000000.0
